Book,Date,Chapters
Genesis,1446 BC,1-11
Job,2000 BC,42,
Genesis, 1446 BC,12-50
Exodus,1446 BC,40
Leviticus,1446 BC,27
Numbers,1446 BC,36
Deuteronomy,1406 BC,34
Joshua,1400 BC,24
Judges,1045 BC,21
Ruth,1011 BC,4
Song of Solomon,960 BC,8
Ecclesiastes,935 BC,12
1 Samuel,930 BC,31
2 Samuel,930 BC,24
Amos,760 BC,9
Hosea,750 BC,14
Micah,735 BC,7
Isaiah,700 BC,66
Nahum,663 BC,3
Zephaniah,640 BC,3
Jeremiah,626 BC,52
Habakkuk,612 BC,3
Ezekiel,593 BC,48
Lamentations,586 BC,5
Obadiah,580 BC,1
1 Kings,560 BC,22
2 Kings,560 BC,25
Jonah,550 BC,4
Daniel,530 BC,12
Haggai,520 BC,2
Zechariah,520 BC,14
Malachi,440 BC,4
Ezra,440 BC,10
1 Chronicles,450 BC,29
2 Chronicles,450 BC,36
Nehemiah,430 BC,13
Esther,400 BC,10
James,45 AD,5
Galatians,50 AD,6
1 Thessalonians,50 AD,5
2 Thessalonians,51 AD,3
1 Corinthians,53 AD,16
Philemon,54 AD,1
Philippians,54 AD,4
2 Corinthians,55 AD,13
Romans,56 AD,16
Colossians,57 AD,4
Ephesians,60 AD,6
Hebrews,60 AD,13
1 Peter,60 AD,5
1 Timothy,62 AD,6
Titus,62 AD,3
Luke,62 AD,24
Acts,62 AD,28
2 Timothy,64 AD,4
Mark,64 AD,16
Revelation,64 AD,22
2 Peter,65 AD,3
Jude,65 AD,1
Matthew,70 AD,28
1 John,85 AD,5
2 John,85 AD,1
3 John,85 AD,1
John,90 AD,21